activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
sg1iterdeconid0000968,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.207000,0.417387,100.0
sg1iterdeconid0000969,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.274000,0.298909,99.635
sg1iterdeconid0000970,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.244000,0.442749,100.4098
sg1iterdeconid0000971,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.270000,0.544418,99.6296
sg1iterdeconid0000972,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.716000,1.443716,99.8603
sg1iterdeconid0000973,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.445000,0.671141,99.7753
sg1iterdeconid0000974,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.413000,0.622879,100.0
sg1iterdeconid0000975,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.141000,0.212654,99.2908
sg1iterdeconid0000976,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.355000,0.387273,100.0
sg1iterdeconid0000977,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.468000,0.548411,100.0
sg1iterdeconid0000978,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.208000,0.419404,100.0
sg1iterdeconid0000979,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.208000,0.226909,100.0
sg1iterdeconid0000980,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.793000,1.438935,86.3808
sg1iterdeconid0000981,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.155000,0.169091,100.0
sg1iterdeconid0000982,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.181000,0.197455,100.0
sg1iterdeconid0000983,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.258000,0.302329,100.0
sg1iterdeconid0000984,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.795000,1.199005,88.5535
sg1iterdeconid0000985,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.103000,0.112364,100.0
sg1iterdeconid0000986,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.440000,0.798400,53.8636
sg1iterdeconid0000987,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.104000,0.121869,100.0
sg1iterdeconid0000988,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.454000,0.495273,100.0
sg1iterdeconid0000989,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.171000,0.344798,100.0
